id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
EHV Load 1;EHV Bus 1605;HS0;120.607;39.64;126.954;EHV1;1
EHV Load 2;EHV Bus 1571;HS0;123.212;40.5;129.698;EHV1;1
EHV Load 3;EHV Bus 1557;HS0;123.589;40.62;130.093;EHV1;1
EHV Load 4;EHV Bus 1613;HS0;131.419;43.2;138.337;EHV1;1
EHV Load 5;EHV Bus 123;HS0;109.592;36.02;115.36;EHV1;1
EHV Load 6;EHV Bus 1667;HS0;104.943;34.49;110.465;EHV1;1
EHV Load 7;EHV Bus 1891;HS0;161.877;53.21;170.398;EHV1;1
EHV Load 8;EHV Bus 1877;HS0;103.322;33.96;108.76;EHV1;1
EHV Load 9;EHV Bus 1935;HS0;126.96;41.73;133.642;EHV1;1
EHV Load 10;EHV Bus 195;HS0;115.926;38.1;122.026;EHV1;1
EHV Load 11;EHV Bus 1691;HS0;123.817;40.7;130.335;EHV1;1
EHV Load 12;EHV Bus 273;HS0;97.1461;31.93;102.259;EHV1;1
EHV Load 13;EHV Bus 279;HS0;115.445;37.95;121.523;EHV1;1
EHV Load 14;EHV Bus 69;HS0;150.746;49.55;158.681;EHV1;1
EHV Load 15;EHV Bus 1707;HS0;115.498;37.96;121.576;EHV1;1
EHV Load 16;EHV Bus 1683;HS0;101.953;33.51;107.319;EHV1;1
EHV Load 17;EHV Bus 1503;HS0;135.636;44.58;142.774;EHV1;1
EHV Load 18;EHV Bus 1495;HS0;116.841;38.4;122.989;EHV1;1
EHV Load 19;EHV Bus 1671;HS0;95.8747;31.51;100.92;EHV1;1
EHV Load 20;EHV Bus 513;HS0;134.651;44.26;141.739;EHV1;1
EHV Load 21;EHV Bus 1497;HS0;146.598;48.18;154.312;EHV1;1
EHV Load 22;EHV Bus 1701;HS0;116.172;38.18;122.285;EHV1;1
EHV Load 23;EHV Bus 1453;HS0;116.245;38.21;122.364;EHV1;1
EHV Load 24;EHV Bus 1803;HS0;129.588;42.59;136.407;EHV1;1
EHV Load 25;EHV Bus 373;HS0;149.089;49;156.935;EHV1;1
EHV Load 26;EHV Bus 1713;HS0;157.649;51.82;165.947;EHV1;1
EHV Load 27;EHV Bus 115;HS0;133.9;44.01;140.947;EHV1;1
EHV Load 28;EHV Bus 1491;HS0;120.263;39.53;126.593;EHV1;1
EHV Load 29;EHV Bus 1677;HS0;117.66;38.67;123.852;EHV1;1
EHV Load 30;EHV Bus 1731;HS1;298.36;98.07;314.064;EHV1;1
EHV Load 31;EHV Bus 1629;HS1;309.317;101.67;325.598;EHV1;1
EHV Load 32;EHV Bus 183;HS1;321.997;105.84;338.946;EHV1;1
EHV Load 33;EHV Bus 1553;HS1;273.806;90;288.218;EHV1;1
EHV Load 34;EHV Bus 1943;HS1;291.34;95.76;306.674;EHV1;1
EHV Load 35;EHV Bus 1699;HS1;315.914;103.84;332.542;EHV1;1
